scenario_id,sample_idx,seed_idx,seed,tte_h,min_headroom_margin,status
S3_gaming,476,6,1011760006,2.3944444444444444,0.8480510219482565,soc_min
S3_gaming,476,7,1011760007,2.397222222222222,0.846866714366051,soc_min
S3_gaming,477,0,1011770000,2.9811412989295407,0.9015368811147279,cutoff
S3_gaming,477,1,1011770001,2.980498862519309,0.9018732773982393,cutoff
S3_gaming,477,2,1011770002,2.98081769086729,0.9015186433558018,cutoff
S3_gaming,477,3,1011770003,2.9804805689469216,0.9018215902472985,cutoff
S3_gaming,477,4,1011770004,2.9790524693151244,0.8961148544593025,cutoff
S3_gaming,477,5,1011770005,2.9801512478526844,0.9017885310167431,cutoff
S3_gaming,477,6,1011770006,2.9797789871805183,0.9017231006552681,cutoff
S3_gaming,477,7,1011770007,2.980156266592169,0.9018037689871448,cutoff
S3_gaming,478,0,1011780000,3.135754770039608,0.9081168248753443,cutoff
S3_gaming,478,1,1011780001,3.138046656492246,0.9125942003510435,cutoff
S3_gaming,478,2,1011780002,3.138038482266773,0.9152613521276775,cutoff
S3_gaming,478,3,1011780003,3.1366037579570105,0.9151158414969813,cutoff
S3_gaming,478,4,1011780004,3.135654935170918,0.9153268303794474,cutoff
S3_gaming,478,5,1011780005,3.1379124605095052,0.9067906492460635,cutoff
S3_gaming,478,6,1011780006,3.13564368145402,0.9152930819245095,cutoff
S3_gaming,478,7,1011780007,3.137501917145058,0.9097294096415389,cutoff
S3_gaming,479,0,1011790000,2.486807290335672,0.8989515281413695,cutoff
S3_gaming,479,1,1011790001,2.484913353223821,0.8990905311393078,cutoff
S3_gaming,479,2,1011790002,2.4853116324685445,0.8976313544555148,cutoff
S3_gaming,479,3,1011790003,2.483798279400818,0.8989764887466593,cutoff
S3_gaming,479,4,1011790004,2.4860488959418556,0.8992656791261372,cutoff
S3_gaming,479,5,1011790005,2.4845348909774696,0.8990265825549669,cutoff
S3_gaming,479,6,1011790006,2.482656395378632,0.8992245617318847,cutoff
S3_gaming,479,7,1011790007,2.486804115649249,0.8989388664519142,cutoff
S3_gaming,480,0,1011800000,2.950020022479344,0.8957152242692606,cutoff
S3_gaming,480,1,1011800001,2.950690580428402,0.8957894926512454,cutoff
S3_gaming,480,2,1011800002,2.949231545607558,0.8959590837906801,cutoff
S3_gaming,480,3,1011800003,2.9514789493313978,0.8958885087487681,cutoff
S3_gaming,480,4,1011800004,2.9508928288835445,0.8958149620252772,cutoff
S3_gaming,480,5,1011800005,2.948195136993616,0.8906800112275461,cutoff
S3_gaming,480,6,1011800006,2.949119643843981,0.8915085808251508,cutoff
S3_gaming,480,7,1011800007,2.950610801100372,0.8958030139551822,cutoff
S3_gaming,481,0,1011810000,2.530415550306466,0.8756524154111135,cutoff
S3_gaming,481,1,1011810001,2.528259603344942,0.8752035084932797,cutoff
S3_gaming,481,2,1011810002,2.5235924140789816,0.8679421748744932,cutoff
S3_gaming,481,3,1011810003,2.5270911021752895,0.8738401503151015,cutoff
S3_gaming,481,4,1011810004,2.5269283071612207,0.8679136991973764,cutoff
S3_gaming,481,5,1011810005,2.5268953989451837,0.867509555112086,cutoff
S3_gaming,481,6,1011810006,2.528747783630105,0.8755876184942567,cutoff
S3_gaming,481,7,1011810007,2.52876678151112,0.8716417623806297,cutoff
S3_gaming,482,0,1011820000,4.305555555555555,0.9164399079656752,soc_min
S3_gaming,482,1,1011820001,4.305555555555555,0.9172834650441826,soc_min
S3_gaming,482,2,1011820002,4.302777777777778,0.9165426255184357,soc_min
S3_gaming,482,3,1011820003,4.305555555555555,0.9162744857654793,soc_min
S3_gaming,482,4,1011820004,4.308333333333334,0.9160649603846392,soc_min
S3_gaming,482,5,1011820005,4.305555555555555,0.9165779279652848,soc_min
S3_gaming,482,6,1011820006,4.3,0.916521134884582,soc_min
S3_gaming,482,7,1011820007,4.305555555555555,0.9161702936879234,soc_min
S3_gaming,483,0,1011830000,3.1194444444444445,0.8970681636243764,soc_min
S3_gaming,483,1,1011830001,3.125,0.8964131762714783,soc_min
S3_gaming,483,2,1011830002,3.1194444444444445,0.8955999761217945,soc_min
S3_gaming,483,3,1011830003,3.1222222222222222,0.8971041067711718,soc_min
S3_gaming,483,4,1011830004,3.1222222222222222,0.8988998122272007,soc_min
S3_gaming,483,5,1011830005,3.1194444444444445,0.8978103462963013,soc_min
S3_gaming,483,6,1011830006,3.1194444444444445,0.8963801662278423,soc_min
S3_gaming,483,7,1011830007,3.1166666666666667,0.8991101001419833,soc_min
S3_gaming,484,0,1011840000,3.1713609374214187,0.879403290850223,cutoff
