phone_test_id,duration_s_est,P_total_W,avg_temp_C,delta_temp_C
522,33.417853406906715,3.8453074898413897,45.231300000000005,2.866
523,33.64065269848033,1.9573954343333708,45.8151,0.191
524,31.285255850386168,2.9988214399992494,45.86090909090909,1.623
525,31.61117249040733,2.738352176790282,46.5429,0.645
527,34.70361578220937,1.600997352802723,44.715199999999996,0.229
529,30.152294908615797,3.245382658155099,44.5969,2.9
53,31.234818979276945,1.818450461892667,44.43685714285714,0.526
531,32.64296929804849,3.1319777029631948,45.279,1.787
532,31.047573316639795,2.482785344086359,46.07033333333334,0.119
534,33.18045087640249,2.2032791016710354,44.12285714285714,1.122
535,31.75693179082525,1.8715313050856768,45.11157142857143,0.306
536,30.008230819274047,2.327821404090689,44.90557142857143,0.949
537,29.97227877692347,2.37923744573284,45.3125,0.454
538,34.03735503306701,2.77320440757804,45.813,1.48
539,33.234750285213295,1.9692871298364851,46.1872,0.143
541,30.10262346153682,2.076635183636868,44.718428571428575,0.389
542,29.852577808708908,2.786109545814031,45.16516666666666,0.681
544,33.79883323126643,2.122509244894191,45.13514285714285,0.283
545,30.985193972013544,2.8836249365003956,45.64275,1.662
547,30.014330799926558,1.8434536278295228,44.63657142857143,0.824
548,32.98719782713075,2.9506690901749204,45.1545,2.232
550,31.748453721959038,2.581613193442245,45.1535,0.8
551,29.524077195956625,2.239127528397522,45.986714285714285,0.931
552,30.784244953781055,3.008132346238561,46.34128571428572,1.623
553,30.015650187622764,2.1836300260131396,46.583285714285715,0.096
555,29.60493510519251,2.0324513729282407,45.36616666666666,0.597
557,30.259093175544212,4.079785249472525,44.72714285714285,4.703
559,34.21739072182738,2.3537295889900873,45.1149,1.075
56,29.576069020928497,3.09231294176662,43.548,2.405
560,30.393793435382015,2.2126445368846976,45.61544444444444,0.358
561,29.96442857187327,2.603927180284691,45.858,1.027
563,24.528719054278582,1.7065505910590297,44.10328571428572,0.367
564,30.006884895968152,2.605878426604239,44.460375,2.014
566,33.69443327149152,2.761702689884146,45.17671428571428,1.898
567,30.171282425169316,2.762818690479717,46.392428571428574,0.716
57,32.76373827403104,2.7306267450839554,44.78371428571428,1.416
570,29.63171369062037,2.556487309202738,44.61683333333333,0.756
572,32.399954300890435,2.5040957541650073,44.52283333333334,2.338
