phone_test_id,brightness_pct,brightness_nits,apl,obs_screen_w,obs_total_w
126,29.0,145.0,0.7137254901960784,0.3210674702145704,1.083870410905555
127,13.0,65.0,0.30196078431372547,0.17275412097599133,4.40580170013222
128,69.0,345.0,0.396078431372549,0.26994041831710086,2.279186856180539
129,66.0,330.0,0.5973856209150327,0.5822079010441388,2.2085671697122486
13,9.0,45.0,0.5856209150326798,0.2088122425823024,2.770463091090412
130,65.0,325.0,0.6104575163398692,0.4437084951261615,1.828746742255849
131,89.0,445.0,0.4117647058823529,0.3022631814141439,2.679225215929254
132,3.0,15.0,0.7163398692810458,0.15767022453494015,2.574546406377039
133,28.0,140.0,0.4117647058823529,0.19635796251807872,2.5764749236888176
134,13.0,65.0,0.550326797385621,0.19645714899132016,1.7429056449209304
135,27.0,135.0,0.5934640522875817,0.289193691277209,1.99681842686564
136,56.0,280.0,0.665359477124183,0.39682449420679716,1.7777431225781073
137,97.0,485.0,0.6143790849673202,0.5595043047032475,1.9436299462399858
138,88.0,440.0,0.4666666666666667,0.7000641884633849,2.677972057029047
139,74.0,370.0,0.5620915032679739,0.4366329358657675,1.6760276727774086
14,19.0,95.0,0.38300653594771245,0.17208238746395552,1.6239636641686361
140,27.0,135.0,0.37254901960784315,0.18989608793169568,1.608756454372991
141,18.0,90.0,0.16470588235294117,0.15006105174897116,1.5773632838991765
142,14.0,70.0,0.6352941176470588,0.20933723257765033,2.7154839396409174
143,45.0,225.0,0.396078431372549,0.2914364259038893,1.7423018522399631
144,4.0,20.0,0.7176470588235294,0.16463892102509714,1.573893912819158
145,53.0,265.0,0.29934640522875816,0.25370044316262746,2.1304262706656427
146,8.0,40.0,0.35294117647058826,0.15129535454248721,1.5763264935552894
147,42.0,210.0,0.13986928104575164,0.1603058534926682,2.8004183663714786
148,54.0,270.0,0.36470588235294116,0.2275991585312655,1.6181348475630857
149,47.0,235.0,0.615686274509804,0.34175349020946866,2.293955490914649
15,19.0,95.0,0.6405228758169935,0.28434108687240817,2.489954085188878
150,20.0,100.0,0.530718954248366,0.26685752184566247,4.671576547725882
151,67.0,335.0,0.5699346405228759,0.47651711773995037,5.393496639153453
152,45.0,225.0,0.473202614379085,0.3821417673796284,5.3122965447722486
153,7.0,35.0,0.6248366013071895,0.18199762073220632,2.057788859717864
154,36.0,180.0,0.6013071895424837,0.3359047806706347,6.48577505305142
155,84.0,420.0,0.4522875816993464,0.5294385248513369,2.243534231575531
156,65.0,325.0,0.2901960784313726,0.21735818983773336,2.573964995733265
