t_s,t_h,soc,v_term_V,p_W,p_max_W,v1_V,status,scenario_id,seed
3106.0,0.8627777777777778,0.773647323138933,3.829943733188811,4.092934876862018,47.90827404320607,0.021386560321900165,cutoff,S3_gaming,1
3108.0,0.8633333333333333,0.7734988956941474,3.829868473790168,4.0929348768619365,47.90647346349252,0.021385925986350682,cutoff,S3_gaming,1
3110.0,0.8638888888888889,0.7733504653315801,3.8297931602296105,4.092934876861876,47.90467162343317,0.02138534307924587,cutoff,S3_gaming,1
3112.0,0.8644444444444445,0.773202032049067,3.8297177950557817,4.092934876861831,47.9028685840785,0.021384809107586826,cutoff,S3_gaming,1
3114.0,0.865,0.7730535958445399,3.82964238069371,4.092934876861797,47.901064403517026,0.021384321699284715,cutoff,S3_gaming,1
3116.0,0.8655555555555555,0.7729051567160224,3.82956691945081,4.092934876861772,47.89925913701891,0.021383878597296634,cutoff,S3_gaming,1
3118.0,0.8661111111111112,0.772756714661625,3.8294914135225815,4.0929348768617535,47.897452837172814,0.021383477654045892,cutoff,S3_gaming,1
3120.0,0.8666666666666667,0.7726082696795408,3.8294158649980403,4.092934876861739,47.89564555401591,0.021383116826112884,cutoff,S3_gaming,1
3122.0,0.8672222222222222,0.772459821768042,3.8293402758648845,4.092934876861729,47.89383733515775,0.02138279416918349,cutoff,S3_gaming,1
3124.0,0.8677777777777778,0.7723113709254755,3.829264648014403,4.0929348768617215,47.89202822589792,0.021382507833242463,cutoff,S3_gaming,1
3126.0,0.8683333333333333,0.7721629171502599,3.8291889832461554,4.092934876861715,47.89021826933829,0.021382256057999927,cutoff,S3_gaming,1
3128.0,0.8688888888888889,0.7720144604408813,3.8291132832724197,4.092934876861712,47.88840750648947,0.02138203716853971,cutoff,S3_gaming,1
3130.0,0.8694444444444445,0.7718660007958907,3.8290375497224254,4.092934876861708,47.886595976372384,0.021381849571178727,cutoff,S3_gaming,1
3132.0,0.87,0.7717175382139004,3.8289617841463803,4.0929348768617055,47.88478371611472,0.021381691749527174,cutoff,S3_gaming,1
3134.0,0.8705555555555555,0.7715690726935812,3.8288859880193047,4.092934876861704,47.88297076104288,0.021381562260739822,cutoff,S3_gaming,1
3136.0,0.8711111111111111,0.7714206042336595,3.8288101627446762,4.092934876861703,47.88115714476924,0.021381459731949097,cutoff,S3_gaming,1
3138.0,0.8716666666666667,0.7712721328329148,3.828734309657902,4.092934876861702,47.87934289927549,0.021381382856871186,cutoff,S3_gaming,1
3140.0,0.8722222222222222,0.7711236584901768,3.828658430029616,4.092934876861701,47.87752805499155,0.02138133039257672,cutoff,S3_gaming,1
3142.0,0.8727777777777778,0.7709751812043233,3.8285825250688252,4.0929348768617,47.87571264087102,0.021381301156418106,cutoff,S3_gaming,1
3144.0,0.8733333333333333,0.7708267009742776,3.828506595925895,4.0929348768617,47.873896684462714,0.021381294023105853,cutoff,S3_gaming,1
3146.0,0.8738888888888889,0.7706782177990066,3.828430643695394,4.0929348768617,47.87208021197883,0.021381307921926728,cutoff,S3_gaming,1
3148.0,0.8744444444444445,0.7705297316775181,3.8283546694188018,4.092934876861699,47.87026324835985,0.021381341834096807,cutoff,S3_gaming,1
3150.0,0.875,0.7703812426088597,3.828278674087082,4.092934876861699,47.86844581733617,0.021381394790242914,cutoff,S3_gaming,1
3152.0,0.8755555555555555,0.7702327505921158,3.8282026586431317,4.092934876861699,47.866627941486875,0.02138146586800621,cutoff,S3_gaming,1
3154.0,0.8761111111111111,0.770084255626407,3.8281266239841147,4.092934876861699,47.864809642295526,0.02138155418976201,cutoff,S3_gaming,1
3156.0,0.8766666666666667,0.7699357577108874,3.828050570963678,4.092934876861699,47.86299094020335,0.02138165892045017,cutoff,S3_gaming,1
3158.0,0.8772222222222222,0.7697872568447434,3.827974500394063,4.092934876861699,47.86117185465986,0.021381779265510742,cutoff,S3_gaming,1
