t_s,t_h,soc,ocv_V,v1_V,i_A,v_term_V,p_W,p_max_W,discriminant,scenario_id,status
6946.0,1.9294444444444445,0.26136532864257606,3.680682664321288,0.032376536583186996,1.6199103225803784,3.5187133019321717,5.7,41.59418000528556,11.486137601691379,S3_gaming,cutoff
6948.0,1.93,0.2611403373277163,3.6805701686638583,0.03237762013274668,1.61996461233877,3.5185953795445104,5.7,41.59159022236852,11.485308871157926,S3_gaming,cutoff
6950.0,1.9305555555555556,0.2609153384722211,3.6804576692361106,0.03237870379459665,1.6200189077314353,3.5184774528235003,5.7,41.58900043155258,11.484480138096826,S3_gaming,cutoff
6952.0,1.931111111111111,0.2606903320753078,3.680345166037654,0.03237978756875667,1.6200732087593677,3.518359521768649,5.7,41.58641063283664,11.483651402507725,S3_gaming,cutoff
6954.0,1.9316666666666666,0.26046531813619367,3.680232659068097,0.032380871455246506,1.620127515423561,3.518241586379467,5.7,41.58382082621959,11.48282266439027,S3_gaming,cutoff
6956.0,1.9322222222222223,0.2602402966540958,3.680120148327048,0.032381955454085926,1.6201818277250062,3.5181236466554626,5.7,41.58123101170032,11.481993923744103,S3_gaming,cutoff
6958.0,1.9327777777777777,0.26001526762823124,3.6800076338141157,0.03238303956529471,1.6202361456646996,3.518005702596146,5.7,41.57864118927773,11.481165180568874,S3_gaming,cutoff
6960.0,1.9333333333333333,0.2597902310578168,3.6798951155289084,0.03238412378889264,1.620290469243632,3.5178877542010274,5.7,41.576051358950735,11.480336434864235,S3_gaming,cutoff
6962.0,1.933888888888889,0.25956518694206915,3.6797825934710344,0.032385208124899506,1.6203447984628028,3.517769801469613,5.7,41.57346152071819,11.479507686629821,S3_gaming,cutoff
6964.0,1.9344444444444444,0.2593401352802049,3.6796700676401026,0.03238629257333509,1.6203991333232026,3.5176518444014127,5.7,41.57087167457903,11.478678935865291,S3_gaming,cutoff
6966.0,1.935,0.2591150760714404,3.6795575380357204,0.0323873771342192,1.6204534738258252,3.5175338829959366,5.7,41.56828182053213,11.47785018257028,S3_gaming,cutoff
6968.0,1.9355555555555555,0.258890009314992,3.679445004657496,0.03238846180757163,1.6205078199716698,3.5174159172526926,5.7,41.56569195857638,11.477021426744441,S3_gaming,cutoff
6970.0,1.9361111111111111,0.25866493501007587,3.679332467505038,0.03238954659341218,1.6205621717617273,3.5172979471711896,5.7,41.56310208871069,11.476192668387421,S3_gaming,cutoff
6972.0,1.9366666666666668,0.25843985315590795,3.679219926577954,0.03239063149176067,1.620616529196997,3.5171799727509354,5.7,41.56051221093394,11.475363907498863,S3_gaming,cutoff
6974.0,1.9372222222222222,0.25821476375170416,3.679107381875852,0.03239171650263691,1.6206708922784752,3.5170619939914394,5.7,41.55792232524503,11.474535144078411,S3_gaming,cutoff
6976.0,1.9377777777777778,0.25798966679668023,3.67899483339834,0.03239280162606073,1.6207252610071525,3.5169440108922094,5.7,41.55533243164285,11.473706378125714,S3_gaming,cutoff
6978.0,1.9383333333333332,0.2577645622900518,3.678882281145026,0.03239388686205195,1.6207796353840287,3.516826023452754,5.7,41.55274253012632,11.472877609640422,S3_gaming,cutoff
6980.0,1.9388888888888889,0.25753945023103425,3.678769725115518,0.032394972210630396,1.6208340154100969,3.5167080316725814,5.7,41.55015262069431,11.47204883862218,S3_gaming,cutoff
6982.0,1.9394444444444445,0.25731433061884296,3.6786571653094216,0.032396057671815914,1.6208884010863622,3.516590035551199,5.7,41.54756270334568,11.471220065070618,S3_gaming,cutoff
6984.0,1.94,0.2570892034526931,3.6785446017263466,0.03239714324562834,1.6209427924138124,3.5164720350881153,5.7,41.544972778079384,11.470391288985402,S3_gaming,cutoff
6986.0,1.9405555555555556,0.2568640687317997,3.6784320343659,0.03239822893208752,1.6209971893934498,3.516354030282839,5.7,41.54238284489426,11.469562510366165,S3_gaming,cutoff
6988.0,1.941111111111111,0.2566389264553776,3.6783194632276888,0.032399314731213304,1.6210515920262707,3.5162360211348767,5.7,41.53979290378925,11.46873372921256,S3_gaming,cutoff
6990.0,1.9416666666666667,0.2564137766226417,3.678206888311321,0.03240040064302555,1.6211060003132742,3.516118007643737,5.7,41.537202954763224,11.467904945524232,S3_gaming,cutoff
6992.0,1.9422222222222223,0.25618861923280656,3.6780943096164034,0.03240148666754412,1.621160414255457,3.5159999898089254,5.7,41.53461299781507,11.467076159300822,S3_gaming,cutoff
6994.0,1.9427777777777777,0.25596345428508666,3.6779817271425435,0.03240257280478887,1.621214833853815,3.5158819676299524,5.7,41.532023032943684,11.466247370541979,S3_gaming,cutoff
6996.0,1.9433333333333334,0.25573828177869634,3.677869140889348,0.03240365905477968,1.621269259109348,3.515763941106324,5.7,41.529433060147944,11.465418579247343,S3_gaming,cutoff
6998.0,1.943888888888889,0.25551310171284985,3.677756550856425,0.03240474541753643,1.6213236900230577,3.515645910237547,5.7,41.52684307942677,11.464589785416566,S3_gaming,cutoff
7000.0,1.9444444444444444,0.25528791408676127,3.6776439570433808,0.03240583189307898,1.621378126595943,3.515527875023129,5.7,41.52425309077902,11.463760989049286,S3_gaming,cutoff
7002.0,1.945,0.2550627188996445,3.6775313594498225,0.03240691848142724,1.621432568828998,3.5154098354625782,5.7,41.52166309420361,11.462932190145155,S3_gaming,cutoff
7004.0,1.9455555555555555,0.2548375161507133,3.6774187580753566,0.032408005182601084,1.6214870167232276,3.515291791555401,5.7,41.51907308969941,11.462103388703811,S3_gaming,cutoff
7006.0,1.9461111111111111,0.25461230583918143,3.6773061529195914,0.03240909199662041,1.6215414702796276,3.5151737433011037,5.7,41.51648307726535,11.461274584724912,S3_gaming,cutoff
7008.0,1.9466666666666668,0.25438708796426235,3.6771935439821313,0.03241017892350513,1.6215959294992004,3.515055690699193,5.7,41.513893056900265,11.460445778208085,S3_gaming,cutoff
7010.0,1.9472222222222222,0.2541618625251694,3.6770809312625854,0.03241126596327514,1.621650394382948,3.5149376337491773,5.7,41.51130302860308,11.459616969152986,S3_gaming,cutoff
7012.0,1.9477777777777778,0.2539366295211159,3.676968314760558,0.03241235311595035,1.6217048649318666,3.514819572450562,5.7,41.508712992372665,11.458788157559253,S3_gaming,cutoff
7014.0,1.9483333333333333,0.2537113889513149,3.6768556944756576,0.032413440381550675,1.6217593411469582,3.514701506802854,5.7,41.50612294820792,11.457959343426534,S3_gaming,cutoff
7016.0,1.948888888888889,0.2534861408149794,3.6767430704074897,0.03241452776009604,1.621813823029225,3.5145834368055593,5.7,41.503532896107735,11.457130526754476,S3_gaming,cutoff
7018.0,1.9494444444444445,0.25326088511132216,3.6766304425556613,0.03241561525160636,1.6218683105796687,3.514465362458185,5.7,41.500942836071005,11.456301707542723,S3_gaming,cutoff
7020.0,1.95,0.2530356218395559,3.676517810919778,0.03241670285610158,1.6219228037992888,3.514347283760237,5.7,41.4983527680966,11.455472885790913,S3_gaming,cutoff
7022.0,1.9505555555555556,0.2528103509988932,3.6764051754994465,0.03241779057360162,1.6219773026890871,3.5142292007112226,5.7,41.495762692183426,11.454644061498696,S3_gaming,cutoff
7024.0,1.951111111111111,0.2525850725885464,3.676292536294273,0.03241887840412643,1.6220318072500683,3.514111113310646,5.7,41.49317260833036,11.453815234665717,S3_gaming,cutoff
7026.0,1.9516666666666667,0.2523597866077278,3.676179893303864,0.03241996634769596,1.6220863174832345,3.513993021558014,5.7,41.49058251653631,11.452986405291618,S3_gaming,cutoff
7028.0,1.9522222222222223,0.2521344930556495,3.676067246527825,0.03242105440433015,1.6221408333895848,3.5138749254528325,5.7,41.48799241680013,11.452157573376043,S3_gaming,cutoff
7030.0,1.9527777777777777,0.25190919193152356,3.675954595965762,0.03242214257404896,1.6221953549701211,3.5137568249946076,5.7,41.48540230912074,11.451328738918637,S3_gaming,cutoff
7032.0,1.9533333333333334,0.25168388323456176,3.6758419416172807,0.032423230856872355,1.622249882225854,3.5136387201828447,5.7,41.48281219349699,11.450499901919036,S3_gaming,cutoff
7034.0,1.9538888888888888,0.25145856696397584,3.675729283481988,0.03242431925282029,1.6223044151577797,3.5135206110170505,5.7,41.4802220699278,11.449671062376897,S3_gaming,cutoff
7036.0,1.9544444444444444,0.2512332431189773,3.675616621559489,0.032425407761912745,1.622358953766903,3.513402497496729,5.7,41.47763193841206,11.448842220291858,S3_gaming,cutoff
7038.0,1.955,0.2510079116987777,3.675503955849389,0.03242649638416968,1.6224134980542315,3.5132843796213855,5.7,41.47504179894861,11.448013375663555,S3_gaming,cutoff
7040.0,1.9555555555555555,0.2507825727025882,3.675391286351294,0.032427585119611094,1.6224680480207643,3.5131662573905276,5.7,41.47245165153638,11.447184528491642,S3_gaming,cutoff
7042.0,1.9561111111111111,0.25055722612962006,3.67527861306481,0.03242867396825696,1.622522603667506,3.513048130803657,5.7,41.469861496174246,11.44635567877576,S3_gaming,cutoff
7044.0,1.9566666666666668,0.25033187197908424,3.675165935989542,0.032429762930127275,1.6225771649954646,3.512929999860283,5.7,41.4672713328611,11.445526826515552,S3_gaming,cutoff
7046.0,1.9572222222222222,0.2501065102501916,3.675053255125096,0.03243085200524203,1.6226317320056443,3.5128118645599073,5.7,41.464681161595806,11.444697971710658,S3_gaming,cutoff
7048.0,1.9577777777777778,0.24988114094215289,3.6749405704710765,0.03243194119362123,1.6226863046990474,3.512693724902037,5.7,41.46209098237727,11.443869114360727,S3_gaming,cutoff
7050.0,1.9583333333333333,0.2496557640541787,3.674827882027089,0.03243303049528487,1.6227408830766814,3.512575580886175,5.7,41.45950079520436,11.443040254465396,S3_gaming,cutoff
7052.0,1.958888888888889,0.24943037958547948,3.6747151897927397,0.032434119910252975,1.622795467139551,3.512457432511828,5.7,41.45691060007597,11.44221139202431,S3_gaming,cutoff
7054.0,1.9594444444444445,0.24920498753526557,3.6746024937676327,0.03243520943854555,1.622850056888661,3.5123392797785002,5.7,41.45432039699099,11.441382527037117,S3_gaming,cutoff
7056.0,1.96,0.24897958790274713,3.6744897939513734,0.03243629908018261,1.622904652325019,3.512221122685695,5.7,41.4517301859483,11.440553659503456,S3_gaming,cutoff
7058.0,1.9605555555555556,0.24875418068713417,3.674377090343567,0.0324373888351842,1.6229592534496322,3.512102961232919,5.7,41.449139966946774,11.439724789422968,S3_gaming,cutoff
7060.0,1.961111111111111,0.24852876588763662,3.674264382943818,0.032438478703570334,1.6230138602635058,3.5119847954196732,5.7,41.4465497399853,11.438895916795296,S3_gaming,cutoff
7062.0,1.9616666666666667,0.2483033435034642,3.674151671751732,0.032439568685361055,1.623068472767644,3.511866625245465,5.7,41.44395950506278,11.43806704162009,S3_gaming,cutoff
7064.0,1.9622222222222223,0.24807791353382655,3.674038956766913,0.0324406587805764,1.6231230909630578,3.5117484507097987,5.7,41.44136926217807,11.437238163896984,S3_gaming,cutoff
7066.0,1.9627777777777777,0.24785247597793314,3.6739262379889666,0.032441748989236414,1.6231777148507542,3.511630271812176,5.7,41.438779011330084,11.436409283625627,S3_gaming,cutoff
7068.0,1.9633333333333334,0.24762703083499332,3.6738135154174962,0.03244283931136115,1.623232344431738,3.511512088552103,5.7,41.436188752517666,11.435580400805653,S3_gaming,cutoff
